Reaction times,Ambulance
0.349,False
0.691,False
0.346,False
0.297,False
0.235,False
0.633,False
0.245,False
0.415,False
0.244,False
0.444,False
0.291,False
0.392,False
1.469,False
0.519,False
0.458,False
0.468,False
0.231,False
0.335,False
0.247,False
0.422,False
0.26,False
0.425,False
0.374,False
0.258,False
0.241,False
0.132,False
0.348,False
0.537,False
0.276,False
0.338,False
0.27,False
0.504,False
0.3,False
0.216,False
0.281,False
0.298,False
0.489,False
0.333,False
0.244,False
0.305,False
0.273,False
0.0,False
